"";"x";"y";"category";"name"
"175";39;710;"S";"Désirée Liljevall"
"176";39;301;"V";"Christina Höj Larsen"
"177";47;960;"S";"Caroline Helmersson Olsson"
"178";59;1096;"KD";"Yvonne Andersson"
"179";33;847;"FP";"Karin Granbom Ellison"
"180";39;1050;"MP";"Mehmet Kaplan"
"181";38;396;"MP";"Åsa Romson"
"182";39;213;"MP";"Per Bolund"
"183";53;0;"M";"Lena Asplund"
"184";57;332;"C";"Anders Ahlgren"
"185";37;0;"SD";"David Lång"
"186";61;1501;"SD";"Jonas Åkerlund"
"187";66;536;"SD";"Stellan Bojerud"
"188";51;1562;"C";"Anders Åkesson"
"189";43;0;"MP";"Jonas Eriksson"
"190";34;0;"SD";"Björn Söder"
"191";51;7168;"S";"Peter Hultqvist"
"192";27;1802;"S";"Roza Güclü Hedin"
"193";45;119311;"M";"Fredrik Reinfeldt"
"194";54;485;"M";"Beatrice Ask"
"195";49;420;"M";"Ewa Björling"
"196";37;0;"M";"Ulrika Karlsson"
"197";48;4547;"M";"Helena Bouveng"
"198";60;2454;"M";"Katarina Brännström"
"199";43;2563;"M";"Annicka Engblom"
"200";36;3830;"M";"Tobias Billström"
"201";63;0;"M";"Cristina Husmark Pehrsson"
"202";54;2476;"M";"Lars-Arne Staxäng"
"203";55;1956;"M";"Mikael Cederbratt"
"204";37;5669;"M";"Cecilia Widegren"
"205";49;4421;"M";"Jan-Evert Rådhström"
"206";39;2481;"M";"Jessica Polfjärd"
"207";48;2037;"M";"Saila Quicklund"
"208";28;0;"MP";"Helena Leander"
"209";45;0;"S";"Pyry Niemi"
"210";53;0;"V";"Lars Ohly"
"211";40;2381;"V";"Josefin Brink"
"212";39;788;"V";"Jens Holm"
"213";39;868;"V";"Amineh Kakabaveh"
"214";52;1487;"M";"Peter Jutterström"
"215";67;1015;"M";"Staffan Anger"
"216";32;441;"M";"Åsa Coenraads"
"217";52;659;"SD";"Thoralf Alfsson"
"218";59;2122;"M";"Bengt-Anders Johansson"
"219";48;2744;"S";"Ann-Kristine Johansson"
"220";46;911;"S";"Gunilla Svantorp"
"221";46;1343;"KD";"Anders Sellström"
"222";41;0;"SD";"Richard Jomshof"
"223";31;71673;"SD";"Jimmie Åkesson"
"224";59;431;"V";"Kent Persson"
"225";48;1584;"S";"Pia Nilsson"
"226";42;799;"S";"Olle Thorell"
"227";29;0;"S";"Anna Wallén"
"228";40;416;"S";"Lars Eriksson"
"229";65;267;"MP";"Agneta Luttropp"
"230";35;0;"S";"Teres Lindberg"
"231";51;9915;"KD";"Göran Hägglund"
"232";63;844;"KD";"Mats Odell"
"233";32;571;"KD";"Emma Henriksson"
"234";46;1136;"KD";"Robert Halef"
"235";39;1674;"SD";"Carina Herrstedt"
"236";48;12204;"FP";"Jan Björklund"
"237";35;3571;"FP";"Birgitta Ohlsson"
"238";64;567;"FP";"Carl B Hamilton"
"239";77;785;"FP";"Barbro Westerholm"
"240";52;592;"C";"Anders Flanking"
"241";45;1926;"SD";"Mikael Jansson"
"242";46;2115;"SD";"Margareta Larsson"
"243";33;349;"SD";"Mattias Karlsson"
"244";42;554;"SD";"Per Ramhorn"
"245";29;1002;"SD";"Kent Ekeroth"
"246";31;518;"SD";"Josef Fransson"
"247";22;475;"SD";"Markus Wiechel"
"248";57;689;"SD";"Anna Hagwall"
"249";45;1989;"C";"Ulrika Carlsson"
"250";52;1463;"M";"Per Bill"
"251";37;1970;"M";"Jessika Vilhelmsson"
"252";31;477;"M";"Marta Obminska"
"253";62;630;"V";"Jacob Johnson"
"254";43;2009;"KD";"Mikael Oscarsson"
"255";32;1146;"FP";"Roger Haddad"
"256";54;1662;"S";"Åsa Lindestam"
"257";56;3208;"KD";"Annelie Enochson"
"258";59;4280;"KD";"Roland Utbult"
"259";47;4200;"S";"Yilmaz Kerimo"
"260";48;820;"S";"Ingela Nylund Watz"
"261";43;942;"S";"Kenneth G Forslund"
"262";52;2507;"S";"Hans Ekström"
"263";25;1382;"S";"Sara Karlsson"
"264";48;350;"FP";"Stefan Käll"
"265";31;1628;"V";"Hans Linde"
"266";58;732;"V";"Eva Olofsson"
"267";55;0;"FP";"Ismail Kamil"
"268";48;353;"FP";"Nina Lundström"
"269";38;313;"FP";"Erik Ullenhag"
"270";59;1066;"M";"Eva Bengtson Skogsberg"
"271";49;1008;"C";"Anders W Jonsson"
"272";54;0;"S";"Agneta Gille"
"273";53;0;"S";"Lena Sommestad"
"274";54;321;"M";"Lena Adelsohn Liljeroth"
"275";47;2042;"M";"Maria Abrahamsson"
"276";33;551;"M";"Sofia Arkelsten"
"277";58;52;"M";"Mats Johansson"
"278";30;322;"M";"Johan Forssell"
"279";36;330;"M";"Gustav Blix"
"280";22;666;"M";"Jessica Rosencrantz"
"281";25;351;"M";"Amir Adan"
"282";47;607;"M";"Hillevi Engström"
"283";40;474;"M";"Anna Kinberg Batra"
"284";44;219;"M";"Karin Enström"
"285";50;259;"M";"Göran Pettersson"
"286";48;232;"M";"Isabella Jernbeck"
"287";23;363;"M";"Hanif Bali"
"288";28;162;"M";"Fredrik Schulte"
"289";59;151;"M";"Marietta de Pourbaix-Lundin"
"290";42;85;"M";"Mikael Sandström"
"291";32;242;"M";"Eliza Roszkowska Öberg"
"292";32;179;"M";"Karl Sigfrid"
"293";52;177;"M";"Anti Avsan"
"294";69;228;"M";"Rune Wikström"
"295";38;467;"M";"Metin Ataseven"
"296";51;0;"MP";"Stina Bergström"
"297";55;1316;"S";"Phia Andersson"
"298";59;422;"S";"Hans Olsson"
"299";52;1131;"S";"Ann-Christin Ahlberg"
"300";52;301;"KD";"Magnus Sjödahl"
"301";54;1194;"KD";"Tuve Skånberg"
"302";46;0;"KD";"Penilla Gunther"
"303";52;433;"MP";"Agneta Börjesson"
"304";48;519;"M";"Pia Hallström"
"305";45;1553;"M";"Sten Bergheden"
"306";61;1266;"M";"Lars Elinderson"
"307";52;0;"V";"Torbjörn Björlund"
"308";53;3488;"C";"Per Åsling"
"309";55;1344;"C";"Solveig Zander"
"310";53;557;"MP";"Peter Rådberg"
"311";59;490;"V";"Wiwi Anne Johansson"
"312";36;694;"S";"Meeri Wasberg"
"313";56;1537;"M";"Maria Plass"
"314";45;0;"M";"Stefan Caplan"
"315";57;1014;"FP";"Lars Tysklind"
"316";52;678;"V";"Lena Olsson"
"317";37;0;"M";"Jonas Jacobsson"
"318";66;0;"FP";"Jan Ertsborn"
"319";41;1531;"C";"Erik A Eriksson"
"320";44;3588;"S";"Lars Mejern Larsson"
"321";52;2461;"S";"Berit Högman"
"322";30;1216;"S";"Jonas Gunnarsson"
"323";34;1989;"M";"Christian Holm"
"324";25;2602;"S";"Adnan Dibrani"
"325";47;0;"S";"Hans Hoff"
"326";38;1626;"S";"Jennie Nilsson"
"327";43;3420;"S";"Tomas Eneroth"
"328";51;501;"S";"Carina Adolfsson Elgestam"
"329";48;1226;"S";"Clas-Göran Carlsson"
"330";25;1066;"M";"Johan Hultberg"
"331";40;487;"S";"Anders Ygeman"
"332";37;851;"S";"Veronica Palm"
"333";57;505;"S";"Arhe Hamednaca"
"334";46;661;"S";"Ylva Johansson"
"335";50;185;"S";"Börje Vestlund"
"336";43;3059;"S";"Marie Nordén"
"337";44;1727;"S";"Gunnar Sandberg"
"338";38;797;"S";"Mikael Damberg"
"339";64;1601;"S";"Björn von Sydow"
"340";50;895;"S";"Christina Zedell"
"341";47;388;"S";"Tommy Waidelich"
"342";31;1359;"S";"Ardalan Shekarabi"
"343";53;2810;"C";"Eskil Erlandsson"
"344";58;0;"S";"Lennart Axelsson"
"345";49;0;"KD";"Annika Eclund"
"346";34;0;"C";"Abir Al-Sahlani"
"347";56;0;"S";"Håkan Bergman"
"348";47;0;"S";"Eva-Lena Jansson"
"349";47;0;"FP";"Eva Flyborg"
